ProductID,ProductName,Category,UnitPrice,StockQuantityUnits,StoreSection
2082,Office-Figure,Office,266.6,523.0,Endcap
2083,Clothing-Cut,Clothing,768.16,517.0,Front-Store
2084,Office-Stuff,Office,281.85,592.0,Warehouse
2085,Electronics-Officer,Electronics,242.15,269.0,Back-Store
2086,Home-Of,Home,894.1,133.0,Online-Only
2087,Electronics-Rather,Electronics,159.32,782.0,Online-Only
2088,Office-Evening,Office,709.35,158.0,Back-Store
2089,Electronics-Action,Electronics,413.52,6.0,Front-Store
2090,Office-Staff,Office,71.64,716.0,Back-Store
2091,Office-Mrs,Office,905.79,127.0,Endcap
2092,Electronics-Add,Electronics,482.21,637.0,Online-Only
2093,Home-Real,Home,755.94,205.0,Online-Only
2094,Office-Fight,Office,493.35,435.0,Front-Store
2095,Home-Seem,Home,490.79,15.0,Back-Store
2096,Office-Discuss,Office,672.18,385.0,Front-Store
2097,Office-Recent,Office,842.1,336.0,Warehouse
2098,Clothing-Trouble,Clothing,907.86,267.0,Endcap
2099,Electronics-Several,Electronics,646.32,137.0,Endcap
